gene_id,gene,product,status,main,sub,path,ecpath,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,Length,organism,protein_id
TX50_RS00070,TX50_RS00070,serine/threonine-protein phosphatase,no_significant,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03021 Transcription machinery [BR:ko03021],K07315  rsbU_P; phosphoserine phosphatase RsbU/P [EC:3.1.3.3],116.38634461925892,-0.3858251171905691,0.17682863680143499,-0,1,1,treatment_long.term_vs_ref,1341,MED4,WP_011131649.1
TX50_RS00075,argH,argininosuccinate lyase,no_significant,09100 Metabolism // 09180 Brite Hierarchies,09105 Amino acid metabolism // 09183 Protein families: signaling and cellular processes,"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250] // 00220 Arginine biosynthesis [PATH:ko00220] // 04147 Exosome [BR:ko04147]","K01755  argH, ASL; argininosuccinate lyase [EC:4.3.2.1]",279.6117291095901,-0.24739848496507205,0.1732709287897626,-0,1,1,treatment_long.term_vs_ref,1377,MED4,WP_011131650.1
TX50_RS00080,TX50_RS00080,RNA-binding protein,no_significant,,,,,3752.5604670725334,0.20338303267681748,0.21667674535601647,0,1,1,treatment_long.term_vs_ref,600,MED4,WP_042116203.1
TX50_RS00085,dusA,tRNA dihydrouridine(20/20a) synthase DusA,no_significant,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],K05539  dusA; tRNA-dihydrouridine synthase A [EC:1.-.-.-],134.86395753326312,1.3377177633418005,0.29884104482975765,2.8032219062111348,0.005059484442727769,0.026724456287228728,treatment_long.term_vs_ref,1002,MED4,WP_011131652.1
TX50_RS00090,msrB,peptide-methionine (R)-S-oxide reductase MsrB,up,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,K07305  msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12],515.5025856959525,1.4203742394337504,0.17809153702349773,5.167984143526789,2.3663238010770402e-7,3.538035747739381e-6,treatment_long.term_vs_ref,492,MED4,WP_011131653.1
TX50_RS00095,grpE,nucleotide exchange factor GrpE,no_significant,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03110 Chaperones and folding catalysts [BR:ko03110] // 03029 Mitochondrial biogenesis [BR:ko03029],K03687  GRPE; molecular chaperone GrpE,2154.5237528337498,0.580242002625751,0.18473175478181403,0.43437038055814775,0.6640195029461851,1,treatment_long.term_vs_ref,717,MED4,WP_011131654.1
TX50_RS00100,dnaJ,molecular chaperone DnaJ,no_significant,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03110 Chaperones and folding catalysts [BR:ko03110] // 03029 Mitochondrial biogenesis [BR:ko03029],K03686  dnaJ; molecular chaperone DnaJ,849.4904008475849,1.0632444206039924,0.174155205227032,3.2341520879019168,0.0012200446689253298,0.008136556892761012,treatment_long.term_vs_ref,1122,MED4,WP_011131655.1
TX50_RS00105,TX50_RS00105,sulfurtransferase TusA family protein,no_significant,,,,,137.00857545378096,1.0127914493653598,0.2055048391458786,2.4952767608618323,0.012585892196102942,0.05833561032893714,treatment_long.term_vs_ref,231,MED4,WP_011131656.1
TX50_RS00110,rsgA,ribosome small subunit-dependent GTPase A,up,09100 Metabolism // 09180 Brite Hierarchies,09108 Metabolism of cofactors and vitamins // 09182 Protein families: genetic information processing,00730 Thiamine metabolism [PATH:ko00730] // 03009 Ribosome biogenesis [BR:ko03009],"K06949  rsgA, engC; ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]",117.9895211273716,1.7166067709142796,0.35900218346103013,3.3888561879633885,7.018480945486777e-4,0.0048918284484708585,treatment_long.term_vs_ref,915,MED4,WP_011131657.1
TX50_RS00115,TX50_RS00115,YbaB/EbfC family nucleoid-associated protein,no_significant,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,99998 Others,K09747  ebfC; nucleoid-associated protein EbfC,1111.0394833381336,-0.903324329883918,0.23126257834417052,-1.7440103486335823,0.0811572853331379,0.2838973717125239,treatment_long.term_vs_ref,348,MED4,WP_011131658.1
TX50_RS00120,murB,UDP-N-acetylmuramate dehydrogenase,no_significant,09100 Metabolism // 09180 Brite Hierarchies,09101 Carbohydrate metabolism // 09107 Glycan biosynthesis and metabolism // 09181 Protein families: metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520] // 00550 Peptidoglycan biosynthesis [PATH:ko00550] // 01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],K00075  murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],43.036440332956715,0.4829459376631748,0.2823760166780885,0,1,1,treatment_long.term_vs_ref,888,MED4,WP_011131659.1
TX50_RS00125,murC,UDP-N-acetylmuramate--L-alanine ligase,no_significant,09100 Metabolism // 09180 Brite Hierarchies,09107 Glycan biosynthesis and metabolism // 09181 Protein families: metabolism,00550 Peptidoglycan biosynthesis [PATH:ko00550] // 01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],K01924  murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8],154.35085987289204,0.42762781634523833,0.22042426399164827,0,1,1,treatment_long.term_vs_ref,1419,MED4,WP_011131660.1
TX50_RS00130,gap,type I glyceraldehyde-3-phosphate dehydrogenase,down,09100 Metabolism,09101 Carbohydrate metabolism // 09102 Energy metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010] // 00710 Carbon fixation in photosynthetic organisms [PATH:ko00710],K00150  gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59],5045.045282998278,-1.7901142211056558,0.2573766697103019,-5.0125530902151425,5.371254897370562e-7,7.268836919507316e-6,treatment_long.term_vs_ref,1020,MED4,WP_011131661.1
TX50_RS00135,TX50_RS00135,thiamine-phosphate kinase,no_significant,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00730 Thiamine metabolism [PATH:ko00730],K00946  thiL; thiamine-monophosphate kinase [EC:2.7.4.16],225.44558108219462,0.22555142711203127,0.13653421072973884,0,1,1,treatment_long.term_vs_ref,984,MED4,WP_011131662.1
TX50_RS00140,TX50_RS00140,peptidylprolyl isomerase,no_significant,,,,,1924.1411562418646,-0.3831871915537168,0.23794705688442777,-0,1,1,treatment_long.term_vs_ref,1089,MED4,WP_011131663.1
TX50_RS00145,efp,elongation factor P,no_significant,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03012 Translation factors [BR:ko03012],K02356  efp; elongation factor P,897.8532469536284,-0.5993162482052934,0.1879159441632491,-0.5285142176068568,0.5971424817118921,1,treatment_long.term_vs_ref,558,MED4,WP_011131664.1
TX50_RS00150,accB,acetyl-CoA carboxylase biotin carboxyl carrier protein,no_significant,09100 Metabolism,09101 Carbohydrate metabolism // 09102 Energy metabolism // 09103 Lipid metabolism,00620 Pyruvate metabolism [PATH:ko00620] // 00640 Propanoate metabolism [PATH:ko00640] // 00720 Carbon fixation pathways in prokaryotes [PATH:ko00720] // 00061 Fatty acid biosynthesis [PATH:ko00061],"K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein",1058.0909787857097,-0.3553143273579567,0.15163034256629662,-0,1,1,treatment_long.term_vs_ref,504,MED4,WP_011131665.1
TX50_RS00155,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,no_significant,,,,,121.91451630663478,0.4113533471423666,0.19972299321063747,0,1,1,treatment_long.term_vs_ref,1038,MED4,WP_011131666.1
TX50_RS00160,TX50_RS00160,SDR family oxidoreductase,no_significant,,,,,179.1094904285827,-0.8991844841023443,0.23079609660884368,-1.729598073657578,0.08370211046628735,0.29060620375373925,treatment_long.term_vs_ref,885,MED4,WP_011131667.1
TX50_RS00165,TX50_RS00165,transcription factor TFIID,no_significant,,,,,39.6717778301906,0.6398715303830838,0.37230040166842626,0.37569535180801245,0.7071433938906244,1,treatment_long.term_vs_ref,234,MED4,WP_152556136.1
TX50_RS00170,TX50_RS00170,HNH endonuclease,no_significant,,,,,273.2794695123108,-0.19956344168871842,0.18579080055500535,-0,1,1,treatment_long.term_vs_ref,402,MED4,WP_011131669.1
TX50_RS00175,TX50_RS00175,hypothetical protein,no_significant,,,,,101.93881730393375,1.2108308512202932,0.2583463801955317,2.7514643351391057,0.005932947984052643,0.03081144415247507,treatment_long.term_vs_ref,417,MED4,WP_011131670.1
TX50_RS00180,TX50_RS00180,AbrB family transcriptional regulator,no_significant,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99997 Function unknown,K07120  K07120; uncharacterized protein,276.9683866078316,0.41207087927741326,0.1636481226443356,0,1,1,treatment_long.term_vs_ref,510,MED4,WP_011131671.1
TX50_RS00185,TX50_RS00185,hypothetical protein,no_significant,,,,,1165.2630406107937,0.645760031723417,0.23135830671598043,0.6300185793733121,0.5286824284510923,1,treatment_long.term_vs_ref,195,MED4,WP_011131672.1
TX50_RS00190,TX50_RS00190,alanine--glyoxylate aminotransferase family protein,no_significant,,,,,958.798809916874,-0.07500335846705738,0.1494117573510848,-0,1,1,treatment_long.term_vs_ref,1125,MED4,WP_036930403.1
TX50_RS00195,cbiD,cobalt-precorrin-5B (C(1))-methyltransferase CbiD,no_significant,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00860 Porphyrin metabolism [PATH:ko00860],K02188  cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195],138.2239239216688,-0.17925256122128824,0.2079087639253146,-0,1,1,treatment_long.term_vs_ref,1116,MED4,WP_011131674.1
TX50_RS00200,guaA,glutamine-hydrolyzing GMP synthase,no_significant,09100 Metabolism // 09180 Brite Hierarchies,09104 Nucleotide metabolism // 09111 Xenobiotics biodegradation and metabolism // 09181 Protein families: metabolism,00230 Purine metabolism [PATH:ko00230] // 00983 Drug metabolism - other enzymes [PATH:ko00983] // 01002 Peptidases and inhibitors [BR:ko01002],"K01951  guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]",587.0638672617935,0.1436139761196913,0.11074167607436863,0,1,1,treatment_long.term_vs_ref,1584,MED4,WP_011131675.1
TX50_RS00205,TX50_RS00205,PD-(D/E)XK nuclease family protein,no_significant,,,,,60.457054153513695,0.052621082313876015,0.18582554652134675,0,1,1,treatment_long.term_vs_ref,711,MED4,WP_011131676.1
TX50_RS00210,TX50_RS00210,hypothetical protein,no_significant,,,,,271.28712067021826,0.08392761278295263,0.2265528499581547,0,1,1,treatment_long.term_vs_ref,606,MED4,WP_011131677.1
TX50_RS00215,mrdA,penicillin-binding protein 2,no_significant,09100 Metabolism // 09160 Human Diseases // 09180 Brite Hierarchies,09107 Glycan biosynthesis and metabolism // 09175 Drug resistance: antimicrobial // 09181 Protein families: metabolism,00550 Peptidoglycan biosynthesis [PATH:ko00550] // 01501 beta-Lactam resistance [PATH:ko01501] // 01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],K05515  mrdA; penicillin-binding protein 2 [EC:3.4.16.4],170.10397963578728,0.7810577136224724,0.15507774916293213,1.8123664751361572,0.06992958935432092,0.24980627873393255,treatment_long.term_vs_ref,1788,MED4,WP_011131678.1
TX50_RS00220,TX50_RS00220,"NAD(P)H-dependent oxidoreductase",no_significant,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99988 Secondary metabolism,"K19784  chrR, NQR; chromate reductase, NAD(P)H dehydrogenase (quinone)",243.7797559413831,-1.0087704627685476,0.26170495457756804,-1.9440612562715187,0.05188806464876658,0.19513280295905322,treatment_long.term_vs_ref,522,MED4,WP_011131679.1
TX50_RS00225,TX50_RS00225,diflavin flavoprotein,no_significant,,,,,371.3168628175885,0.6675526990005881,0.15311688862317405,1.0942796742228813,0.27383233700190246,0.7368434728614327,treatment_long.term_vs_ref,1800,MED4,WP_011131680.1
TX50_RS00230,TX50_RS00230,diflavin flavoprotein,up,,,,,1839.971440027334,1.6233722533482633,0.21927416757869664,5.123139974730901,3.0048910702623605e-7,4.352396909583138e-6,treatment_long.term_vs_ref,1773,MED4,WP_011131681.1
TX50_RS00235,alaS,alanine--tRNA ligase,no_significant,09120 Genetic Information Processing // 09180 Brite Hierarchies,09122 Translation // 09181 Protein families: metabolism // 09182 Protein families: genetic information processing,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970] // 01007 Amino acid related enzymes [BR:ko01007] // 03016 Transfer RNA biogenesis [BR:ko03016],"K01872  AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]",939.5430399105334,-0.17281286388737085,0.12126208900901188,-0,1,1,treatment_long.term_vs_ref,2658,MED4,WP_011131682.1
TX50_RS00240,speA,biosynthetic arginine decarboxylase,no_significant,09100 Metabolism,09105 Amino acid metabolism,00330 Arginine and proline metabolism [PATH:ko00330],K01585  speA; arginine decarboxylase [EC:4.1.1.19],198.20066831601352,0.8554686579923005,0.19544342221925184,1.8187803608633581,0.06894494577304879,0.24724164306234514,treatment_long.term_vs_ref,1944,MED4,WP_011131683.1
TX50_RS00245,ndk,nucleoside-diphosphate kinase,no_significant,09100 Metabolism // 09130 Environmental Information Processing // 09180 Brite Hierarchies,09104 Nucleotide metabolism // 09111 Xenobiotics biodegradation and metabolism // 09132 Signal transduction // 09182 Protein families: genetic information processing,00230 Purine metabolism [PATH:ko00230] // 00240 Pyrimidine metabolism [PATH:ko00240] // 00983 Drug metabolism - other enzymes [PATH:ko00983] // 04016 MAPK signaling pathway - plant [PATH:ko04016] // 04131 Membrane trafficking [BR:ko04131],"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]",395.16584315536625,-0.5740699491678495,0.24484690380044155,-0.3025153596723403,0.7622592263171963,1,treatment_long.term_vs_ref,456,MED4,WP_011131684.1
TX50_RS00250,thiO,glycine oxidase ThiO,no_significant,,,,,222.9958809661753,0.7353970534099674,0.17573396079711062,1.3395080401205968,0.18040533878346182,0.5374139103013207,treatment_long.term_vs_ref,1107,MED4,WP_011131685.1
TX50_RS00255,gatB,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,no_significant,09120 Genetic Information Processing // 09180 Brite Hierarchies,09122 Translation // 09182 Protein families: genetic information processing,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970] // 03029 Mitochondrial biogenesis [BR:ko03029],"K02434  gatB, PET112; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]",855.5567290420564,-0.06928431518436762,0.12084135343675538,-0,1,1,treatment_long.term_vs_ref,1470,MED4,WP_011131686.1
TX50_RS00260,coaE,dephospho-CoA kinase,no_significant,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00770 Pantothenate and CoA biosynthesis [PATH:ko00770],K00859  coaE; dephospho-CoA kinase [EC:2.7.1.24],30.859728363038343,-0.7491141625424914,0.3555144839497018,-0.7007145244122771,0.4834811899428672,1,treatment_long.term_vs_ref,612,MED4,WP_011131687.1
TX50_RS00265,argJ,bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ,no_significant,09100 Metabolism,09105 Amino acid metabolism,00220 Arginine biosynthesis [PATH:ko00220],K00620  argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1],101.09945689727816,1.1165985741047746,0.20922230784429646,2.9470976611329998,0.0032077187835385713,0.0185847207021266,treatment_long.term_vs_ref,1236,MED4,WP_036930400.1
TX50_RS00270,TX50_RS00270,AAA family ATPase,no_significant,09180 Brite Hierarchies,09182 Protein families: genetic information processing // 09183 Protein families: signaling and cellular processes,03036 Chromosome and associated proteins [BR:ko03036] // 04812 Cytoskeleton proteins [BR:ko04812],"K03496  parA, soj; chromosome partitioning protein",1831.8086398218952,-0.9226482970302192,0.2620605176569003,-1.6127889115428162,0.10679037597029534,0.35418489633081857,treatment_long.term_vs_ref,669,MED4,WP_011131689.1
TX50_RS00275,TX50_RS00275,aldo/keto reductase,no_significant,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00750 Vitamin B6 metabolism [PATH:ko00750],K05275  E1.1.1.65; pyridoxine 4-dehydrogenase [EC:1.1.1.65],53.64701785325169,-0.5246147738486074,0.20425532524582088,-0.12050982670333618,0.9040792957928598,1,treatment_long.term_vs_ref,960,MED4,WP_011131690.1
TX50_RS00280,TX50_RS00280,class I SAM-dependent RNA methyltransferase,no_significant,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],K25137  rlmL; 23S rRNA (guanine2445-N2)-methyltransferase [EC:2.1.1.173],118.79855733161547,0.5317362999498536,0.2630398913957723,0.12065204171675571,0.9039666465599814,1,treatment_long.term_vs_ref,1122,MED4,WP_011131691.1
TX50_RS00285,TX50_RS00285,phage holin family protein,no_significant,,,,,114.81958310754959,0.7116459820573844,0.24553661168297847,0.8619732129017421,0.3887022586235512,0.9608719833174185,treatment_long.term_vs_ref,384,MED4,WP_011131692.1
TX50_RS00290,TX50_RS00290,hypothetical protein,no_significant,,,,,460.4747332745552,0.7865374874806875,0.20362793848362085,1.4071619524043635,0.15937937093072593,0.4820380973989656,treatment_long.term_vs_ref,459,MED4,WP_011131693.1
TX50_RS00295,TX50_RS00295,hypothetical protein,no_significant,,,,,620.4528015472009,-1.3596454182544282,0.295216543154032,-2.9119147899713065,0.003592206141602143,0.0201288991735892,treatment_long.term_vs_ref,360,MED4,WP_011131694.1
TX50_RS00300,smc,chromosome segregation protein SMC,no_significant,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03036 Chromosome and associated proteins [BR:ko03036],K03529  smc; chromosome segregation protein,253.9254989344649,-0.12787308212604723,0.17393806836736844,-0,1,1,treatment_long.term_vs_ref,3588,MED4,WP_036930396.1
TX50_RS00305,TX50_RS00305,PRC-barrel domain-containing protein,no_significant,,,,,236.98212962105436,0.5737776641892995,0.20977060613800758,0.35170639751482335,0.7250584622206715,1,treatment_long.term_vs_ref,1020,MED4,WP_036930395.1
TX50_RS00310,TX50_RS00310,hypothetical protein,no_significant,,,,,170.25559862710156,0.03083534529891311,0.2817029961591005,0,1,1,treatment_long.term_vs_ref,1287,MED4,WP_011131697.1
TX50_RS00320,accC,acetyl-CoA carboxylase biotin carboxylase subunit,down,09100 Metabolism,09101 Carbohydrate metabolism // 09102 Energy metabolism // 09103 Lipid metabolism,00620 Pyruvate metabolism [PATH:ko00620] // 00640 Propanoate metabolism [PATH:ko00640] // 00720 Carbon fixation pathways in prokaryotes [PATH:ko00720] // 00061 Fatty acid biosynthesis [PATH:ko00061],"K01961  accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",630.4097378141845,-1.3789735683215514,0.14639196673334987,-6.004247281700811,1.9222155510937712e-9,3.959764035253169e-8,treatment_long.term_vs_ref,1347,MED4,WP_011131698.1
TX50_RS00325,TX50_RS00325,YggT family protein,no_significant,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02044 Secretion system [BR:ko02044],K02221  yggT; YggT family protein,235.837714069051,-0.7861767083670604,0.23317315482307577,-1.2273141330707733,0.21970454565910535,0.6276305510816353,treatment_long.term_vs_ref,303,MED4,WP_011131699.1
TX50_RS00330,TX50_RS00330,photosystem II reaction center X protein,down,,,,,1001.4419426024972,-1.3547609529352707,0.2088458825526586,-4.092783360092103,4.2622590070505044e-5,4.3181574858314946e-4,treatment_long.term_vs_ref,186,MED4,WP_036930392.1
TX50_RS00335,TX50_RS00335,Ycf66 family protein,no_significant,,,,,3770.0791519065,0.6688318670401076,0.15157340859783913,1.1138620461327704,0.26533837394222987,0.7202596563527001,treatment_long.term_vs_ref,930,MED4,WP_011131701.1
TX50_RS00340,TX50_RS00340,high light inducible protein,no_significant,,,,,138.11592324325892,-0.6904514298303227,0.18004430252413017,-1.057803147115959,0.29014519773625225,0.7651908913271859,treatment_long.term_vs_ref,231,MED4,WP_011131702.1
TX50_RS00345,TX50_RS00345,ABC transporter ATP-binding protein/permease,no_significant,09130 Environmental Information Processing // 09180 Brite Hierarchies,09131 Membrane transport // 09183 Protein families: signaling and cellular processes,02010 ABC transporters [PATH:ko02010] // 02000 Transporters [BR:ko02000],"K02471  bacA, bclA; vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein",825.6216709188466,0.29464322385932895,0.12291304329564337,0,1,1,treatment_long.term_vs_ref,1980,MED4,WP_011131703.1
TX50_RS00350,TX50_RS00350,hypothetical protein,no_significant,,,,,193.10018516444208,0.6691195963974701,0.2284560633233684,0.7402718664467642,0.45913504819107587,1,treatment_long.term_vs_ref,285,MED4,WP_011131704.1
TX50_RS00355,TX50_RS00355,histidine triad nucleotide-binding protein,no_significant,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,04147 Exosome [BR:ko04147],"K02503  HINT1, hinT, hit; histidine triad (HIT) family protein",184.07525229805904,0.2665888767529021,0.14676617691060137,0,1,1,treatment_long.term_vs_ref,339,MED4,WP_011131705.1
TX50_RS00360,def,peptide deformylase,no_significant,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,"K01462  PDF, def; peptide deformylase [EC:3.5.1.88]",317.37990753539526,0.9491327409916948,0.15638490437044172,2.8719699180670104,0.00407921795725828,0.022243735566931915,treatment_long.term_vs_ref,603,MED4,WP_011131706.1
TX50_RS00365,TX50_RS00365,prolyl oligopeptidase family serine peptidase,no_significant,,,,,81.2995070556717,0.4559416734884418,0.24366166177433116,0,1,1,treatment_long.term_vs_ref,1926,MED4,WP_011131707.1
TX50_RS00370,TX50_RS00370,SufS family cysteine desulfurase,no_significant,09100 Metabolism,09106 Metabolism of other amino acids,00450 Selenocompound metabolism [PATH:ko00450],K11717  sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16],254.8193598167768,0.15332790837529736,0.16075835396215427,0,1,1,treatment_long.term_vs_ref,1275,MED4,WP_011131708.1
TX50_RS00375,TX50_RS00375,SufD family Fe-S cluster assembly protein,no_significant,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99996 General function prediction only,K09015  sufD; Fe-S cluster assembly protein SufD,87.07375568419786,0.08679713589125784,0.2299277509331087,0,1,1,treatment_long.term_vs_ref,1215,MED4,WP_011131709.1
TX50_RS00380,sufC,Fe-S cluster assembly ATPase SufC,no_significant,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],K09013  sufC; Fe-S cluster assembly ATP-binding protein,430.07388886577695,0.6529300828694786,0.17704603481764142,0.8637871106630409,0.38770484974605646,0.9608719833174185,treatment_long.term_vs_ref,783,MED4,WP_011131710.1
TX50_RS00385,sufB,Fe-S cluster assembly protein SufB,no_significant,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99996 General function prediction only,K09014  sufB; Fe-S cluster assembly protein SufB,2773.397798249134,0.7322026114763402,0.14478699701139033,1.6037532117478268,0.10876846158436614,0.35945940780287844,treatment_long.term_vs_ref,1440,MED4,WP_011131711.1
TX50_RS00390,TX50_RS00390,hypothetical protein,no_significant,,,,,21.013483516538134,-0.8668747734906456,0.490072714044994,-0.7486129363589961,0.45409053273156125,1,treatment_long.term_vs_ref,360,MED4,WP_011131712.1
TX50_RS00395,TX50_RS00395,DUF4912 domain-containing protein,no_significant,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99997 Function unknown,K09942  K09942; uncharacterized protein,1382.513598648378,-0.8451645671597968,0.22335951105011068,-1.5453318532845426,0.12226601449228441,0.3922888213965341,treatment_long.term_vs_ref,1104,MED4,WP_011131713.1
